epoch	time	lr	train loss	train acc	testloss	test acc
Namespace(dataset='imagenet', arch='pretrained-vit', outdir='output/pretrained_sigma1.0-run2', path=None, workers=4, epochs=150, batch=1024, lr=0.001, lr_step_size=30, gamma=0.1, use_mixup=False, data_aug=False, momentum=0.9, weight_decay=0.0001, noise_sd=1.0, norm_stats='0.5', gpu=None, print_freq=10)
0	0:0	0.001	6.91	0.209	0.692
1	0:0	0.001	6.9	0.621	0.889
2	0:0	0.001	6.9	0.794	0.793
3	0:0	0.001	6.89	0.722	0.644
4	0:0	0.001	6.87	0.55	0.554
5	0:0	0.001	6.84	0.53	0.596
6	0:0	0.001	6.8	0.611	0.666
7	0:0	0.001	6.76	0.711	0.781
8	0:0	0.001	6.71	0.842	0.891
9	0:0	0.001	6.65	0.938	0.949
10	0:0	0.001	6.59	1.03	1.08
11	0:0	0.001	6.53	1.2	1.26
12	0:0	0.001	6.47	1.45	1.44
13	0:0	0.001	6.4	1.6	1.76
14	0:0	0.001	6.34	1.8	2.04
15	0:0	0.001	6.27	2.07	2.26
16	0:0	0.001	6.2	2.36	2.59
17	0:0	0.001	6.13	2.7	3.01
18	0:0	0.001	6.06	3.08	3.39
19	0:0	0.001	5.99	3.49	3.87
20	0:0	0.001	5.91	3.91	4.45
21	0:0	0.001	5.82	4.48	4.97
22	0:0	0.001	5.73	5.11	5.64
23	0:0	0.001	5.64	5.51	6.21
24	0:0	0.001	5.55	6.1	6.78
25	0:0	0.001	5.46	6.68	7.53
26	0:0	0.001	5.37	7.3	8.17
27	0:0	0.001	5.28	7.99	8.84
28	0:0	0.001	5.2	8.87	9.82
29	0:0	0.001	5.12	9.41	10.4
30	0:0	1e-05	5.07	9.92	10.8
31	0:0	0.0001	5.05	10.1	11.0
32	0:0	0.0001	5.05	10.1	10.8
33	0:0	0.0001	5.04	10.2	10.9
34	0:0	0.0001	5.03	10.3	11.0
35	0:0	0.0001	5.02	10.4	11.2
36	0:0	0.0001	5.02	10.4	11.2
37	0:0	0.0001	5.0	10.6	11.5
38	0:0	0.0001	5.0	10.6	11.5
39	0:0	0.0001	5.0	10.5	11.4
40	0:0	0.0001	4.98	10.8	11.5
41	0:0	0.0001	4.98	10.8	11.7
42	0:0	0.0001	4.97	10.9	11.9
43	0:0	0.0001	4.96	10.9	11.8
44	0:0	0.0001	4.95	11.0	12.0
45	0:0	0.0001	4.95	11.2	12.0
46	0:0	0.0001	4.94	11.2	12.3
47	0:0	0.0001	4.94	11.2	12.3
48	0:0	0.0001	4.93	11.2	12.2
49	0:0	0.0001	4.91	11.5	12.3
50	0:0	0.0001	4.91	11.2	12.4
51	0:0	0.0001	4.91	11.5	12.6
52	0:0	0.0001	4.89	11.5	12.5
53	0:0	0.0001	4.89	11.7	12.7
54	0:0	0.0001	4.88	11.6	12.6
55	0:0	0.0001	4.87	11.8	13.0
56	0:0	0.0001	4.86	11.9	13.1
57	0:0	0.0001	4.85	12.0	12.9
58	0:0	0.0001	4.85	12.0	13.1
59	0:0	0.0001	4.85	12.0	13.2
60	0:0	1e-06	4.83	12.1	13.2
61	0:0	1e-05	4.84	12.4	13.1
62	0:0	1e-05	4.83	12.2	13.2
63	0:0	1e-05	4.83	12.2	13.2
64	0:0	1e-05	4.83	12.2	13.5
65	0:0	1e-05	4.83	12.1	13.2
66	0:0	1e-05	4.83	12.2	13.2
67	0:0	1e-05	4.84	12.2	13.3
68	0:0	1e-05	4.83	12.2	13.3
69	0:0	1e-05	4.83	12.3	13.2
70	0:0	1e-05	4.83	12.4	13.4
71	0:0	1e-05	4.82	12.4	13.3
72	0:0	1e-05	4.83	12.2	13.3
73	0:0	1e-05	4.83	12.2	13.4
74	0:0	1e-05	4.83	12.1	13.4
75	0:0	1e-05	4.82	12.1	13.3
76	0:0	1e-05	4.82	12.3	13.6
77	0:0	1e-05	4.82	12.4	13.3
78	0:0	1e-05	4.82	12.3	13.3
79	0:0	1e-05	4.82	12.3	13.5
80	0:0	1e-05	4.81	12.4	13.4
81	0:0	1e-05	4.82	12.2	13.4
82	0:0	1e-05	4.81	12.4	13.5
83	0:0	1e-05	4.82	12.4	13.3
84	0:0	1e-05	4.82	12.5	13.3
85	0:0	1e-05	4.82	12.3	13.5
86	0:0	1e-05	4.82	12.5	13.6
87	0:0	1e-05	4.81	12.5	13.5
88	0:0	1e-05	4.81	12.5	13.4
89	0:0	1e-05	4.81	12.4	13.4
90	0:0	1e-07	4.81	12.3	13.4
91	0:0	1e-06	4.81	12.4	13.6
92	0:0	1e-06	4.81	12.6	13.6
93	0:0	1e-06	4.81	12.5	13.5
94	0:0	1e-06	4.81	12.4	13.4
95	0:0	1e-06	4.81	12.5	13.5
96	0:0	1e-06	4.81	12.4	13.6
97	0:0	1e-06	4.82	12.1	13.2
98	0:0	1e-06	4.82	12.3	13.4
99	0:0	1e-06	4.82	12.4	13.5
100	0:0	1e-06	4.81	12.4	13.5
101	0:0	1e-06	4.82	12.5	13.7
102	0:0	1e-06	4.81	12.3	13.6
103	0:0	1e-06	4.82	12.5	13.5
104	0:0	1e-06	4.81	12.5	13.4
105	0:0	1e-06	4.81	12.4	13.6
106	0:0	1e-06	4.81	12.6	13.5
107	0:0	1e-06	4.82	12.4	13.4
108	0:0	1e-06	4.81	12.4	13.4
109	0:0	1e-06	4.81	12.5	13.5
110	0:0	1e-06	4.81	12.5	13.5
111	0:0	1e-06	4.82	12.4	13.5
112	0:0	1e-06	4.81	12.4	13.5
113	0:0	1e-06	4.81	12.4	13.5
114	0:0	1e-06	4.81	12.6	13.4
115	0:0	1e-06	4.81	12.4	13.7
116	0:0	1e-06	4.82	12.3	13.5
117	0:0	1e-06	4.82	12.4	13.7
118	0:0	1e-06	4.81	12.5	13.5
119	0:0	1e-06	4.82	12.4	13.6
120	0:0	1e-08	4.82	12.4	13.6
121	0:0	1e-07	4.82	12.4	13.4
122	0:0	1e-07	4.82	12.3	13.5
123	0:0	1e-07	4.81	12.3	13.6
124	0:0	1e-07	4.81	12.5	13.4
125	0:0	1e-07	4.81	12.4	13.4
126	0:0	1e-07	4.81	12.4	13.4
127	0:0	1e-07	4.81	12.5	13.6
128	0:0	1e-07	4.81	12.4	13.4
129	0:0	1e-07	4.81	12.6	13.5
130	0:0	1e-07	4.81	12.4	13.5
131	0:0	1e-07	4.82	12.3	13.6
132	0:0	1e-07	4.81	12.4	13.5
133	0:0	1e-07	4.82	12.3	13.5
134	0:0	1e-07	4.81	12.5	13.5
135	0:0	1e-07	4.81	12.5	13.5
136	0:0	1e-07	4.81	12.3	13.4
137	0:0	1e-07	4.81	12.5	13.5
138	0:0	1e-07	4.81	12.5	13.5
139	0:0	1e-07	4.82	12.4	13.5
140	0:0	1e-07	4.82	12.4	13.5
141	0:0	1e-07	4.81	12.5	13.5
142	0:0	1e-07	4.82	12.6	13.6
143	0:0	1e-07	4.81	12.6	13.5
144	0:0	1e-07	4.82	12.3	13.4
145	0:0	1e-07	4.81	12.4	13.5
146	0:0	1e-07	4.82	12.5	13.5
147	0:0	1e-07	4.82	12.4	13.4
148	0:0	1e-07	4.81	12.5	13.5
149	0:0	1e-07	4.82	12.4	13.5
